MARCA;MARCA_GN
CHUCULAT/BARRA/OTROS SABORES;CHUCULAT
CHUCULAT/BARRA/OTROS SABORESCHUCULAT/BARRA/33 125 GRS;CHUCULAT
CHUCULAT/BARRA/SIN SABOR;CHUCULAT
CHUCULAT/BARRA/SIN SABORCHUCULAT/BARRA/33 125 GRS;CHUCULAT
CHUCURENO/BARRA/CLAVOS Y CANELA;CHUCURENO
CHUCURENO/BARRA/CLAVOS Y CANELACHUCURENO/BARRA/250 374 GRS;CHUCURENO
CHUCURENO/BARRA/CLAVOS Y CANELACHUCURENO/BARRA/500 O MAS GRS;CHUCURENO
CHUCURENO/BARRA/SIN SABOR;CHUCURENO
CHUCURENO/BARRA/SIN SABORCHUCURENO/BARRA/0 25 GRS;CHUCURENO
CHUCURENO/BARRA/SIN SABORCHUCURENO/BARRA/250 374 GRS;CHUCURENO
CHUCURENO/BARRA/SIN SABORCHUCURENO/BARRA/33 125 GRS;CHUCURENO
CHUCURENO/BARRA/SIN SABORCHUCURENO/BARRA/500 O MAS GRS;CHUCURENO
CHUCURENO/BARRA/VAINILLA;CHUCURENO
CHUCURENO/BARRA/VAINILLACHUCURENO/BARRA/0 25 GRS;CHUCURENO
CHUCURENO/BARRA/VAINILLACHUCURENO/BARRA/250 374 GRS;CHUCURENO
CHUCURENO/BARRA/VAINILLACHUCURENO/BARRA/500 O MAS GRS;CHUCURENO
COLOMBINA/POLVO/SIN SABOR;COLOMBINA
COLOMBINA/POLVO/SIN SABORCOLOMBINA/POLVO/201 260 GRS;COLOMBINA
COLONIAL/BARRA/SIN SABOR;COLONIAL
COLONIAL/BARRA/SIN SABORCOLONIAL/BARRA/250 374 GRS;COLONIAL
COLONIAL/BARRA/SIN SABORCOLONIAL/BARRA/33 125 GRS;COLONIAL
COLONIAL/BARRA/SIN SABORCOLONIAL/BARRA/500 O MAS GRS;COLONIAL
COLONIAL/BARRA/VAINILLA;COLONIAL
COLONIAL/BARRA/VAINILLACOLONIAL/BARRA/250 374 GRS;COLONIAL
COLONIAL/BARRA/VAINILLACOLONIAL/BARRA/33 125 GRS;COLONIAL
COLONIAL/BARRA/VAINILLACOLONIAL/BARRA/500 O MAS GRS;COLONIAL
COLOSAL/BARRA/CLAVOS Y CANELA;COLOSAL
COLOSAL/BARRA/CLAVOS Y CANELACOLOSAL/BARRA/250 374 GRS;COLOSAL
COLOSAL/BARRA/CLAVOS Y CANELACOLOSAL/BARRA/500 O MAS GRS;COLOSAL
COLOSAL/BARRA/QUESO;COLOSAL
COLOSAL/BARRA/QUESOCOLOSAL/BARRA/500 O MAS GRS;COLOSAL
COLOSAL/BARRA/SIN SABOR;COLOSAL
COLOSAL/BARRA/SIN SABORCOLOSAL/BARRA/0 25 GRS;COLOSAL
COLOSAL/BARRA/SIN SABORCOLOSAL/BARRA/250 374 GRS;COLOSAL
